MTurk ID,Gender,Age range,Is English your native language?,What language(s) did you learn before the age of 5?,puckering,whistling,whispering,remarking,jogging,articulating,eating,talking,singing,stepping,grinning,dancing,lecturing,reciting,bantering,commenting,chatting,trotting,mumbling,strutting,strolling,running,parading,stomping,speaking,humming,walking,cheering,licking,muttering,hiking,gossiping,skipping,telling,biting,smirking,conversing,sprinting,kicking,arguing,galloping,babbling,striding,shouting,discussing,yelling,punting,hopping,coughing,marching,pacing,debating,frowning,screaming,hollering,saying,tasting,chewing,smiling,mentioning,murmuring,uttering,"Was there anything unusual in the survey that you noticed? If so, / please explain below. "
APGX2WZ59OWDN,F,20-29,Y,English,1,1,1,1,5,2,1,1,3,3,2,5,2,1,1,1,1,4,1,4,3,7,4,5,1,1,4,3,1,1,5,1,4,2,1,1,1,7,6,2,7,2,3,4,1,3,5,5,3,4,2,2,1,3,3,1,1,1,1,1,1,1,No
A2UNQAI5MDCKYG ,F,60 or older,N,Spanish,3,2,1,1,7,4,2,2,,5,2,6,2,2,3,1,1,7,1,4,5,7,5,4,1,1,4,4,1,1,7,1,3,1,2,3,2,7,5,3,7,1,4,4,2,3,2,5,3,4,2,1,,4,2,1,1,1,1,1,1,1,no
A26APAELZ028RQ,F,20-29,Y,English,4,4,1,2,7,2,4,4,5,6,5,7,3,2,3,2,4,6,1,6,5,7,7,6,4,2,6,7,1,1,7,1,6,4,6,4,4,7,7,7,7,2,5,7,2,7,7,6,7,7,5,3,4,7,7,3,2,4,6,2,1,1,n/a
AVUB4GDC2GE48,M,20-29,N,"telugu,english",5,5,5,4,6,5,6,5,5,4,4,6,5,5,5,4,6,5,5,6,5,7,6,5,6,6,6,5,4,,4,6,7,5,5,6,4,4,6,6,5,5,4,5,5,5,6,5,4,4,4,5,4,6,5,4,4,6,5,4,5,5,
A1GHB84BERQ0FF,M,20-29,Y,English,3,3,4,4,6,5,3,4,5,4,4,5,4,5,4,4,4,5,3,5,4,6,5,5,4,2,4,4,2,3,6,4,4,4,4,2,5,6,5,5,6,2,5,6,5,5,5,5,4,4,4,6,5,5,5,4,2,2,3,4,3,3,no
AVIOR20K5ZXQD,F,20-29,Y,English,1,2,1,2,5,2,3,2,2,4,3,5,2,2,2,2,2,4,1,2,3,5,3,3,2,1,4,3,1,1,6,1,5,1,2,2,2,4,4,3,5,1,2,3,2,3,4,2,2,3,2,4,1,4,3,2,2,2,3,2,1,1,There were a lot of words with very similar meanings.
A3H35QRODK1C4K,M,18-20,Y,English,3,3,1,2,6,3,2,2,4,3,1,7,4,3,4,4,3,4,2,5,4,7,5,6,1,1,3,4,2,2,7,2,6,2,3,2,2,3,4,3,6,3,7,5,2,6,5,6,2,5,3,4,2,5,4,2,2,2,1,2,2,3,no
ARVXIBUCA8WDZ,M,20-29,Y,English,1,1,1,2,5,1,2,1,2,3,1,5,2,2,2,1,2,3,1,2,3,5,3,3,2,1,3,3,2,1,5,1,,1,2,1,1,6,3,3,4,2,3,3,1,3,3,3,3,4,3,4,1,2,3,1,1,1,1,4,1,1,"No, I didn't see anything unusual."
A3R25SV8HUGML2,M,20-29,Y,English,1,1,1,1,4,1,1,1,3,3,1,5,2,2,1,1,1,4,1,2,3,6,5,2,1,1,3,2,1,1,5,1,4,1,2,1,1,7,4,3,5,1,4,2,1,2,5,3,3,4,3,2,1,2,2,1,1,1,1,1,1,1,Some of the questions repeated
A1WCAXCHWZPTFQ,F,20-29,Y,English,2,2,2,2,6,2,3,3,4,4,3,5,4,3,3,3,2,5,1,4,4,7,5,5,3,2,4,4,2,3,6,2,5,3,3,2,3,7,4,4,5,2,5,5,2,5,4,5,3,4,4,3,4,5,2,2,1,2,3,3,2,2,I didn't notice anything unusual.
A2925T8JYCYNN3,F,20-29,Y,telugu,5,4,6,5,5,4,5,5,6,5,6,5,5,5,4,6,5,3,5,5,5,2,6,3,5,5,6,4,5,6,5,3,5,5,5,5,6,3,5,4,6,6,6,5,4,,4,5,6,6,4,4,5,6,5,4,5,4,5,,7,4,no
1,M,20-29,Y,English,1,2,1,1,5,1,3,2,4,5,1,6,2,1,2,1,2,2,1,3,3,7,4,5,1,2,5,4,2,1,7,1,4,1,3,1,1,7,5,3,5,1,5,2,2,3,6,4,4,6,4,3,1,3,3,1,2,2,1,1,1,1,no
A1I9ZBV75AVWUS,M,20-29,Y,English,2,3,1,2,7,2,2,2,4,5,1,6,2,2,2,2,2,5,1,4,4,7,5,4,2,2,5,4,2,1,7,2,5,2,3,1,2,7,5,3,5,3,5,3,2,4,6,4,4,5,3,3,2,3,4,2,2,3,2,3,1,1,Nothing at all
A3S4MWKGWPJS6I,M,30-39,Y,English,1,1,1,1,3,1,1,1,2,2,1,4,2,1,1,1,1,3,1,3,2,4,3,2,1,1,2,2,1,1,3,1,2,1,1,1,2,5,2,2,3,1,3,2,1,2,3,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,"I think I was asked twice about the amount of effort required for certain actions, but other than that i didn't notice anything strange."
A22AESRVRWWDGQ,M,20-29,Y,English,7,6,5,6,1,3,3,4,2,6,4,4,4,7,5,3,3,3,3,2,2,2,6,2,6,4,5,3,1,3,5,4,4,7,3,2,2,5,2,2,5,3,7,7,4,4,2,5,3,,4,1,6,4,1,3,5,3,3,5,3,4,no
A997OZ3H2B3Q2,M,30-39,N,Malayalam,3,4,2,2,5,3,4,3,3,4,3,6,3,2,5,2,3,5,2,3,4,6,2,3,3,4,5,3,3,2,5,3,4,3,4,3,3,6,5,5,5,4,5,5,3,5,2,4,4,4,5,4,3,5,2,3,3,2,2,2,2,2,"Words are picked in such a manner that a guy with low exposure to the language english, may not get the meaning easily."
A2XWHAVGMXTVMJ,M,20-29,Y,"English, Malayalam",3,2,1,3,6,3,3,3,4,4,1,7,4,3,2,2,2,4,2,4,4,7,3,4,3,1,4,4,3,2,5,1,5,3,6,3,3,7,5,5,7,2,3,5,,4,4,4,3,5,6,4,1,4,2,3,2,4,1,3,2,1,There was nothing unusual.
ALT88JWMD3JVJ,M,30-39,N,English,4,7,3,7,6,6,7,7,7,7,5,7,6,5,3,7,7,2,3,6,7,7,5,3,7,7,7,7,6,2,3,6,6,7,6,4,7,4,6,7,5,7,6,7,7,3,6,7,6,7,4,5,6,6,2,7,7,3,7,4,3,3,Nothing.
A3AU7L204D8TZK,F,40-49,Y,ENGLISH,1,1,1,1,6,2,1,1,4,4,1,7,2,1,3,1,1,4,1,3,3,7,4,,1,1,4,3,1,1,7,1,4,1,1,1,2,7,7,3,7,1,4,3,2,3,2,4,2,6,6,2,2,3,3,1,1,2,1,1,1,1,wanting to know how physical things are that you can't do physical.
A1WCU3MA6YZ1BB,M,20-29,Y,Only English,1,1,1,1,5,1,2,1,3,1,1,4,1,1,1,1,1,4,1,1,3,6,4,3,1,1,1,3,2,1,5,1,2,1,4,1,1,5,4,3,4,1,3,3,1,3,4,3,2,4,1,1,1,3,2,1,1,2,1,1,1,1,"I noticed nothing unusual, aside from some items appearing multiple times."
A1RZIAVIA68FUE,F,30-39,Y,english,3,3,3,2,6,2,4,4,5,5,3,7,5,3,3,3,3,5,3,5,5,7,6,6,3,3,6,5,4,3,7,3,6,3,5,2,3,7,6,6,6,2,6,5,3,5,6,6,2,6,5,5,2,6,5,2,4,4,2,2,4,2,some of the things didn't seem to be things i would think of as physical
A22Y3ATP4SKTBZ,F,18-20,Y,"English, Italian",2,1,1,1,5,4,3,4,5,4,2,7,3,2,2,2,3,5,3,2,2,5,5,5,2,2,2,4,2,2,5,3,5,2,3,2,2,6,5,5,7,3,4,6,3,5,5,4,5,5,4,4,3,5,6,2,2,2,2,1,3,2,some words were repeated
A2Y7BO0CROURI4,F,20-29,Y,English,1,7,,2,7,3,4,1,,5,3,7,3,3,2,3,1,2,2,1,5,5,,1,1,2,3,3,2,2,2,1,6,1,1,1,1,5,7,1,2,,5,3,1,4,2,1,5,5,1,1,4,6,3,1,2,,4,7,3,4,Nope
AELOYBHVZFDW9,M,50-59,Y,english,1,1,1,1,5,2,1,1,2,2,,4,1,1,2,1,1,4,1,2,1,6,3,2,1,1,3,3,1,1,5,1,3,1,1,1,1,7,5,2,4,2,3,2,1,2,4,4,2,3,2,1,1,3,2,1,1,1,1,1,1,1,no
AEEV7M97XKJ9A,F,20-29,Y,English,1,2,1,1,4,1,3,1,3,3,1,5,2,1,1,1,1,4,1,2,2,4,2,2,1,1,4,3,2,1,5,1,4,1,2,1,1,6,2,2,5,1,3,3,2,3,2,2,2,3,3,2,1,3,3,1,1,2,1,1,1,1,Many of the actions had to do with talking
2,M,20-29,Y,english,6,6,6,6,5,6,5,5,5,6,5,6,5,5,5,4,6,6,6,4,5,6,5,5,6,6,5,5,6,5,5,5,5,6,4,6,5,6,5,5,5,5,4,5,5,6,5,6,5,6,6,5,5,5,5,5,6,5,5,6,5,5,
A2IABGWWDKRQS3,M,20-29,Y,English,1,1,1,1,6,1,2,5,3,1,1,6,1,,3,1,1,1,1,3,2,7,5,6,1,1,3,5,1,1,7,1,2,1,1,1,4,7,5,1,5,1,1,6,1,3,5,4,2,4,1,1,2,,2,1,1,2,1,1,1,1,nope
AVWJPWUEE3U4Q,M,50-59,Y,English,1,1,1,1,4,1,1,1,4,1,1,5,5,3,2,1,1,5,1,2,1,5,4,3,1,1,1,3,1,1,4,1,1,1,1,1,1,6,3,2,5,1,2,3,2,3,5,3,1,4,1,5,1,3,3,1,1,1,1,1,1,1,A lot of verbal actions were rated along with more physical acts.
A7TI4X4LRGQA0,M,30-39,Y,english,1,1,1,1,3,2,2,1,3,2,1,4,2,2,3,1,1,5,1,3,4,4,1,5,1,1,4,2,1,1,4,1,3,1,2,1,2,7,6,3,5,1,3,2,2,3,5,4,4,3,3,4,1,5,4,1,1,2,1,1,1,1,nothing unusual
A29OJFPXJP5ODV,M,20-29,Y,malayalam and English ,6,4,6,5,7,6,4,6,6,3,5,7,6,5,6,3,3,4,4,6,5,7,7,6,5,6,6,5,5,5,6,5,6,6,5,6,5,3,7,5,5,4,5,6,4,6,5,6,5,6,5,6,6,5,6,5,3,3,1,4,4,5,No..Very good survey..Thank you
A3HQXCWOIQKT4F,M,20-29,Y,English,2,2,2,2,4,2,3,2,5,3,2,5,3,2,2,2,2,4,2,3,3,6,4,3,3,2,4,3,2,2,5,2,4,2,4,2,2,6,4,3,5,2,3,4,2,3,4,3,2,4,3,3,2,4,2,2,2,2,2,2,2,2,No
A1ZNK3NT3TI3OO,F,40-49,Y,English,2,4,2,3,6,4,3,3,5,4,2,7,4,3,3,3,2,3,2,4,3,7,5,5,3,2,3,6,2,4,6,2,3,2,3,2,3,7,6,6,4,2,5,7,3,7,5,4,3,7,3,5,2,7,7,2,2,3,3,3,2,3,You renamed several actions using different words. 
A34WAR0H85FL2K,F,20-29,Y,,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,4,1,2,1,5,1,2,1,1,1,2,1,1,4,1,2,1,1,1,1,6,2,1,5,1,2,2,1,3,2,2,2,2,2,1,1,3,2,1,1,1,1,1,1,1,No
A144CG4DJ1O4P3,M,20-29,Y,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,No
A3E73BVSABJ7LM,M,30-39,Y,English,2,1,1,2,6,2,2,2,3,3,2,5,3,2,2,2,2,5,1,,4,6,3,4,2,2,4,4,3,1,6,2,5,2,2,2,2,7,6,3,7,2,4,3,2,3,6,6,2,5,3,3,2,3,3,2,2,3,2,2,1,2,no
A1YEUKODCCJPUO,F,20-29,Y,"malayalam,english",4,4,1,4,4,4,4,4,4,6,4,7,5,3,3,4,5,5,3,4,4,6,6,,4,2,6,3,3,2,7,3,7,3,4,4,4,7,5,4,5,4,4,5,5,5,3,4,3,6,5,5,5,6,5,4,3,4,3,4,2,5,no
A25DP39XRZDLQM,F,20-29,Y,arabic,5,3,5,6,5,6,6,4,6,3,5,4,4,4,5,5,5,5,4,5,6,6,5,5,5,4,6,4,5,5,5,6,6,5,5,5,6,4,4,5,4,4,4,4,5,4,4,5,6,5,5,5,3,5,3,4,5,5,4,4,6,6,NO.
A3EWR58W0SA885,M,20-29,Y,,2,2,2,2,3,2,2,2,5,3,2,5,2,2,2,2,2,4,2,3,3,5,3,4,2,2,3,4,2,2,4,2,3,2,4,2,2,5,6,3,5,2,4,3,2,3,4,3,2,3,2,3,2,4,3,2,2,2,2,2,2,2,
A1JCFCPGEYT1L4,M,20-29,Y,"Novice ASL ( American Sign Language), English",1,1,1,2,7,3,3,1,2,1,1,7,3,2,2,1,2,3,1,4,5,7,5,4,2,1,5,5,3,1,7,2,4,2,3,1,2,7,5,3,5,2,6,3,2,3,2,7,3,7,1,,2,3,3,1,2,3,2,1,1,1,No.
A239MVV887NFN2,M,20-29,Y,English,2,2,1,1,5,2,2,1,4,3,2,5,3,3,5,1,1,5,1,3,3,4,4,6,1,1,3,5,2,1,6,2,3,1,4,2,3,7,5,5,6,2,5,4,1,5,4,4,4,5,3,2,2,6,4,1,1,2,2,1,1,1,"Was a unique one, that's for sure. I don't think I've ever been asked how much physical energy trotting or galloping requires, nor have I really thought about it before today!"
A149ROBL26JWPJ,M,20-29,Y,English,2,2,1,1,4,1,2,2,3,3,2,4,2,1,2,1,1,3,1,3,3,5,2,4,2,1,4,2,2,1,6,2,3,2,4,2,2,4,5,3,3,2,3,2,2,2,4,4,3,3,3,3,2,3,2,1,2,2,2,1,1,1,
