MTurk ID,Gender,Age Range,Is English your native language?,What language(s) did you learn before the age of 5?,whispering,remarking,articulating,talking,singing,lecturing,reciting,bantering,commenting,chatting,mumbling,speaking,humming,cheering,muttering,gossiping,telling,conversing,arguing,babbling,shouting,discussing,yelling,debating,screaming,hollering,saying,mentioning,murmuring,uttering,"Was there anything unusual in the survey that you noticed? If so, / please explain below. ", 
A2D8ZM1E0USP73,M,20-29,Y,English,1,4,4,4,5,4,4,4,4,4,1,4,2,6,1,4,4,4,5,4,7,4,7,4,7,6,4,4,1,3,Nope.,
A34ZSF2JSRXIRP,F,30-39,Y,english,1,4,4,4,5,5,4,5,4,4,4,4,4,6,2,3,4,4,6,4,7,4,7,4,7,7,4,4,2,3,no,
A302M81U0HM7RJ,M,20-29,Y,english,1,4,1,4,5,,4,5,4,4,2,5,4,6,2,5,5,4,6,3,7,4,7,4,7,6,4,4,2,3,"No ,not that I saw.",
A267TQL6LVWW7K,M,20-29,Y,English,2,4,5,7,5,4,5,4,5,5,4,4,3,6,2,5,4,5,6,4,6,5,7,6,7,6,4,6,1,4,I did not notice anything particularly noticeable or strange.,
A23AFAXSEYH61S,M,20-29,Y,"English, Spanish",1,4,4,4,4,6,5,5,3,4,1,4,3,7,2,3,4,4,6,5,7,4,7,5,7,7,4,3,1,2,There was absolutely nothing unusual.,
AZY2R13Q2HGMC,M,30-39,Y,English,2,3,5,4,5,6,4,4,4,4,3,4,4,7,3,3,4,4,6,4,7,4,7,5,7,6,4,4,3,4,,
A3LD1G3R5NOVYH,F,40-49,Y,English,1,4,4,4,5,3,4,4,4,4,1,4,2,6,3,4,4,4,6,4,6,4,7,4,7,6,4,4,2,4,nope,
A5R2QJKK4Z23V,F,20-29,Y,English,2,4,4,4,5,5,4,6,4,4,1,4,2,6,1,3,4,5,6,3,7,4,7,5,7,7,4,4,1,4,,
A1W8FA5GSFY60C,F,30-39,Y,ENGLISH,1,4,4,4,6,4,4,4,4,4,2,4,3,5,2,3,4,5,6,4,6,4,6,5,7,6,4,3,1,2,IT SEEMED LIKE A FEW THINGS DUPLICATED THEMSELVES.,
AH4QNMYBTB3PG,F,20-29,Y,English,1,5,4,5,5,6,6,7,5,5,1,5,2,7,2,3,5,5,7,3,7,5,7,6,7,7,5,4,2,2,I did not notice anything unusual.,
A274NFT93QPBGL,M,20-29,Y,English,1,5,5,4,5,5,5,4,4,4,3,4,2,6,2,4,4,4,5,3,7,4,7,5,7,7,4,4,3,4,No,
A1V8MSGK7CVD8B,M,20-29,Y,english,1,3,4,4,5,5,4,5,3,5,2,4,3,6,2,5,4,4,5,5,7,4,6,5,7,7,4,3,2,4,nothing unusual.,
